component,model,workload_or_scope,configuration,recorded_observation,evidence_status,allowed_interpretation,publication_action,principal_risk
neighbor_cache,AtomBit,256 jobs 46 atoms,B64 skin 0.5 A,5.4 percent time reduction,preliminary paired engineering result,cache can help small systems modestly under this configuration,rerun at skins 0/0.25/0.5/1.0 with repetitions and CI,technical repeats and no uncertainty
neighbor_cache,AtomBit,256 jobs 276 atoms,B64 skin 0.5 A,14.1 percent time reduction,preliminary paired engineering result,cache benefit was larger for large systems under this configuration,rerun factorial size x skin x batch with exact-edge validation,technical repeats and no uncertainty
neighbor_cache,AtomBit,256 jobs 46 atoms,B128 skin 0.5 A,3.1 percent time reduction,preliminary paired engineering result,larger batch reduced cache ROI in this case,rerun interaction study,confounding by memory and edge inflation
neighbor_cache,AtomBit,256 jobs 276 atoms,B128 skin 0.5 A,6.3 percent time reduction,preliminary paired engineering result,B128 was not the best recorded configuration,rerun interaction study,not a universal B64 conclusion
neighbor_cache,MACE,46 atoms,persistent tensor-state cache,3.3 percent time reduction,preliminary,cache can be an opt-in optimization,canonical edge ordering plus endpoint-equivalence rerun,edge ordering may change BFGS path
neighbor_cache,MACE,276 atoms,persistent tensor-state cache,9.7 percent time reduction,preliminary,cache helps more for the recorded large workload,canonical edge ordering plus endpoint-equivalence rerun,edge ordering may change BFGS path
refill,AtomBit,276 atoms B64,drain 341.75 s; immediate 334.49 s; threshold 341.16 s,preliminary,immediate was fastest among these three before survivor preservation,repeat on frozen STEPVAR workload,one run and graph reconstruction confound
refill,MACE,46 atoms,drain 145.44 s; immediate 130.40 s; threshold 129.38 s,preliminary,threshold advantage over immediate was only 0.8 percent and not practically decisive,repeat with paired runs and telemetry,one run and effect below practical threshold
lazy_pending,AtomBit,refill workflow,construct pending graph only on admission,essentially no speedup but lower unnecessary work and memory,engineering result,retain as a resource-safety design not a speed claim,keep regression test and memory telemetry,benefit may appear only in larger streams
topology_preserving_compaction,AtomBit,276 atoms B64,334.49 s to 280.28 s; 19.3 percent improvement,strong preliminary mechanism evidence,survivor topology preservation is likely more important than refill grouping,rerun as explicit ablation with repetitions,one run and implementation supersession
memory_model,AtomBit,held-out B128,1.30 percent peak-memory prediction error,preliminary validation,memory model is useful for OOM prevention,validate on held-out sizes skins force modes and GPUs,possible overfit to current hardware
memory_model,MACE,held-out B128,0.36 percent peak-memory prediction error,preliminary validation,memory model is useful for OOM prevention,validate on held-out sizes skins force modes and GPUs,possible overfit to current hardware
planned_bucketing,AtomBit,mixed 128x46 plus 128x276,225.58 s fixed B64 versus 215.21 s planned; 4.82 percent,preliminary,retain planner for safety but do not claim decisive throughput benefit,repeat with unique workloads and CI,effect below 5 percent practical threshold
planned_bucketing,MACE,mixed 128x46 plus 128x276,234.30 s fixed B64 versus 225.31 s planned; 3.99 percent,preliminary,retain planner for safety but do not claim decisive throughput benefit,repeat with unique workloads and CI,effect below 5 percent practical threshold
multi_gpu,AtomBit,256 jobs 276 atoms,1 GPU 282.32 s; 4 GPU 83.56 s; 7 GPU 54.20 s; 5.21x,preliminary strong-scaling-like result,large closed pools benefit from multiple workers,rerun invariant micro-pools and report cold/warm/gpu-seconds,internal schedule may vary with GPU count
multi_gpu,AtomBit,256 mixed jobs,1 GPU 199.46 s; 4 GPU 60.52 s; 7 GPU 41.44 s; 4.81x,preliminary,heterogeneous pools scale but with load imbalance,rerun invariant micro-pools plus cost model,atom count alone misses convergence cost
multi_gpu,MACE,256 jobs 276 atoms,1 GPU 291.77 s; 4 GPU 101.27 s; 7 GPU 53.56 s; 5.45x,preliminary,large closed pools benefit from multiple workers,rerun invariant micro-pools and report cold/warm/gpu-seconds,internal schedule may vary with GPU count
multi_gpu,MACE,256 mixed jobs,1 GPU 209.07 s; 4 GPU 69.76 s; 7 GPU 45.32 s; 4.61x,preliminary,heterogeneous pools scale but with load imbalance,rerun invariant micro-pools plus cost model,atom count alone misses convergence cost
multi_gpu_small_pool,AtomBit,32 mixed cold jobs,7 GPU speedup 1.06x,preliminary,cold multi-GPU is not worthwhile for this small pool,repeat with persistent workers and latency scope,startup dominates
multi_gpu_small_pool,MACE,32 mixed cold jobs,7 GPU speedup 1.34x,preliminary,cold multi-GPU benefit is weak for this small pool,repeat with persistent workers and latency scope,startup dominates
automatic_joint_planner,all,all,skin plus cache plus refill plus batch plus buckets plus GPU count,not implemented,central future contribution,implement persistent micro-pools and held-out oracle-regret evaluation,policy leakage and overclaim risk
md_validation,all,NVE and Langevin NVT,current engine scope only,partially validated engineering feature,may be used for controlled tests after long-run validation,complete drift distribution restart and constraint tests,NPT and melting claims excluded
